,dependency,doc_id,lemmatized,parent_id,sentence_id,tag,word,word_id
0,nsubj,0.0,президент,5,0.0,NOUN,Президент,1
1,dobj,0.0,сша,1,0.0,NOUN,США,2
2,appos,0.0,дональд,1,0.0,NOUN,Дональд,3
3,appos,0.0,трамп,3,0.0,NOUN,Трамп,4
4,ROOT,0.0,объявить,0,0.0,VERB,объявил,5
5,case,0.0,в,7,0.0,ADP,в,6
6,nmod,0.0,четверг,5,0.0,NOUN,четверг,7
7,case,0.0,о,9,0.0,ADP,о,8
8,nmod,0.0,выход,5,0.0,NOUN,выходе,9
9,nmod,0.0,сша,9,0.0,NOUN,США,10
10,case,0.0,из,13,0.0,ADP,из,11
11,amod,0.0,парижский,13,0.0,ADJ,Парижского,12
12,dobj,0.0,соглашение,9,0.0,NOUN,соглашения,13
13,case,0.0,по,15,0.0,ADP,по,14
14,nmod,0.0,климат,13,0.0,NOUN,климату,15
15,punct,0.0,.,5,0.0,PUNCT,.,16
16,nsubj,0.0,сша,2,1.0,NOUN,США,1
17,ROOT,0.0,выйти,0,1.0,VERB,выйдут,2
18,case,0.0,из,5,1.0,ADP,из,3
19,amod,0.0,парижский,5,1.0,ADJ,Парижского,4
20,dobj,0.0,соглашение,2,1.0,NOUN,соглашения,5
21,case,0.0,по,7,1.0,ADP,по,6
22,nmod,0.0,климат,5,1.0,NOUN,климату,7
23,punct,0.0,",",7,1.0,PUNCT,",",8
24,punct,0.0,—,7,1.0,PUNCT,—,9
25,parataxis,0.0,сообщить,2,1.0,VERB,сообщил,10
26,nsubj,0.0,трамп,10,1.0,NOUN,Трамп,11
27,case,0.0,в,13,1.0,ADP,в,12
28,nmod,0.0,ход,10,1.0,NOUN,ходе,13
29,nmod,0.0,прессконференция,13,1.0,NOUN,прессконференции,14
30,case,0.0,в,17,1.0,ADP,в,15
31,amod,0.0,бел,17,1.0,ADJ,Белом,16
32,nmod,0.0,дом,13,1.0,NOUN,доме,17
33,punct,0.0,.,2,1.0,PUNCT,.,18
34,amod,0.0,парижский,2,2.0,ADJ,Парижское,1
35,nsubj,0.0,соглашение,19,2.0,NOUN,соглашение,2
36,case,0.0,по,4,2.0,ADP,по,3
37,nmod,0.0,климат,2,2.0,NOUN,климату,4
38,punct,0.0,—,4,2.0,PUNCT,—,5
39,amod,0.0,первое,9,2.0,ADJ,первое,6
40,amod,0.0,глобальный,9,2.0,ADJ,глобальное,7
41,amod,0.0,климатический,9,2.0,ADJ,климатическое,8
42,appos,0.0,соглашение,2,2.0,NOUN,соглашение,9
43,punct,0.0,",",9,2.0,PUNCT,",",10
44,amod,0.0,подписать,9,2.0,VERB,подписанное,11
45,nummod,0.0,194,13,2.0,NUM,194,12
46,nmod:agent,0.0,страна,11,2.0,NOUN,странами,13
47,case,0.0,в,15,2.0,ADP,в,14
