,index,word
0,абориген,-1
1,аборт,-1
2,абсурд,-1
3,абсурдность,-1
4,абсурдный,-1
5,авантюра,-1
6,авантюрист,-1
7,авантюрный,-1
8,аварийность,-1
9,аварийный,-1
10,авария,-1
11,аврал,-1
12,авторитарность,-1
13,авторитетный,1
14,агония,-1
15,агрессивность,-1
16,агрессивный,-1
17,агрессия,-1
18,агрессор,-1
19,адекватный,1
20,адов,-1
21,адовый,-1
22,адский,-1
23,аккуратность,1
24,аккуратный,1
25,алкаш,-1
26,алкоголизм,-1
27,алкоголик,-1
28,алкоголичка,-1
29,алчность,-1
30,амбициозный,1
31,аморальность,-1
32,аморальный,-1
33,ампутировать,-1
34,анальный,-1
35,анархия,-1
36,анафема,-1
37,антикоррупционный,1
38,антинародный,-1
39,антисанитария,-1
40,антисемитизм,-1
41,анус,-1
42,апатия,-1
43,аппетитный,1
44,арест,-1
45,аристократ,1
46,атмосферный,1
47,аутсайдер,-1
48,афера,-1
49,аферист,-1
50,ахинея,-1
51,ахти,-1
52,баба,-1
53,бабка,-1
54,бабник,-1
55,бабский,-1
56,базар,-1
57,базарить,-1
58,балаболка,-1
59,балаган,-1
60,балбес,-1
61,балда,-1
62,балдеть,-1
63,балласт,-1
64,баловать,-1
65,баловство,-1
66,бан,-1
67,банальность,-1
68,банда,-1
69,бандера,-1
70,бандеровец,-1
71,бандитизм,-1
72,бандитский,-1
73,бандформирование,-1
74,банить,-1
75,банкрот,-1
76,банкротство,-1
77,барак,-1
78,барахло,-1
79,бардак,-1
80,барыга,-1
81,башка,-1
82,башковитый,1
83,бегство,-1
84,беда,-1
85,бедненький,-1
86,бедность,-1
87,бедный,-1
88,бедняжка,-1
89,бедняк,-1
90,бедственный,-1
91,бедствие,-1
92,бедствовать,-1
93,безальтернативный,-1
94,безбилетник,-1
95,безбожный,-1
96,безволие,-1
97,безвольный,-1
98,безвредность,1
99,безвредный,1
100,безвыходность,-1
101,безголовый,-1
102,безграмотность,-1
103,безграмотный,-1
104,безгрешный,1
105,бездарный,-1
106,бездарь,-1
107,бездействие,-1
108,безделье,-1
109,бездельница,-1
110,бездельничать,-1
111,безденежье,-1
112,бездеятельность,-1
113,бездоказательный,-1
114,бездорожье,-1
115,бездумный,-1
116,беззаконие,-1
117,безликий,-1
118,безлюдный,-1
119,безмозглость,-1
120,безмозглый,-1
121,безнадега,-1
122,безнадежность,-1
123,безнадежный,-1
124,безнаказанность,-1
125,безнаказанный,-1
126,безногий,-1
127,безнравственность,-1
128,безнравственный,-1
129,безобразие,-1
130,безобразничать,-1
131,безопасный,1
132,безответственность,-1
133,безответственный,-1
134,безработица,-1
135,безразличие,-1
136,безропотный,-1
137,безудержный,-1
138,безумие,-1
139,безумный,-1
140,безумство,-1
141,безупречный,1
142,безучастный,-1
143,безыдейный,-1
144,безысходность,-1
145,безысходный,-1
146,белиберда,-1
147,бережливый,1
148,бесить,-1
149,беситься,-1
150,бесконтрольный,-1
151,бесноватый,-1
152,бесноваться,-1
153,беспардонный,-1
154,бесперспективный,-1
155,беспечность,-1
156,бесплодность,-1
157,бесплодный,-1
158,бесподобный,1
159,беспокоить,-1
160,беспокойный,-1
161,беспокойство,-1
162,бесполезность,-1
163,бесполезный,-1
164,беспомощный,-1
165,беспорядок,-1
166,беспочвенный,-1
167,беспощадный,-1
168,бесправный,-1
169,беспредел,-1
170,беспринципный,-1
171,беспристрастный,1
172,беспробудный,-1
173,бессердечный,-1
174,бессилие,-1
175,бессильный,-1
176,бесславный,-1
177,бессмысленность,-1
178,бессмысленный,-1
179,бессмыслица,-1
180,бессовестность,-1
181,бесстрашный,1
182,бесстыдный,-1
183,бестактность,-1
184,бестолковость,-1
185,бестолковый,-1
186,бестолочь,-1
187,бесчеловечность,-1
188,бесчеловечный,-1
189,бесчестный,-1
190,бешенство,-1
191,бешеный,-1
192,библия,1
193,бить,-1
194,бич,-1
195,благоволить,1
196,благодарность,1
197,благодарственный,1
198,благодатный,1
199,благоденствие,1
200,благозвучный,1
201,благополучие,1
202,благополучный,1
203,благоприятный,1
204,благоприятствовать,1
205,благоразумие,1
206,благородный,1
207,благосклонный,1
208,благословенный,1
209,благословлять,1
210,благосостояние,1
211,благостный,1
212,благотворитель,1
213,благотворительность,1
214,благочестие,1
215,блатной,-1
216,блевать,-1
217,блевотина,-1
218,блевотный,-1
219,блекнуть,-1
220,блеск,1
221,блефовать,-1
222,близорукий,-1
223,блоха,-1
224,блуд,-1
225,блудница,-1
226,бля,-1
227,блядский,-1
228,блядство,-1
229,богатей,-1
230,богатство,1
231,богатый,1
232,богатырский,1
233,богач,-1
234,богомерзкий,-1
235,бодрый,1
236,бодяга,-1
237,боевик,-1
238,божественный,1
239,божий,1
240,бой,-1
241,бойкотировать,-1
242,бойня,-1
243,болезненный,-1
244,болезный,-1
245,болезнь,-1
246,болеть,-1
247,болтаться,-1
248,болтливый,-1
249,болтовня,-1
250,боль,-1
251,больничка,-1
252,болячка,-1
253,бомж,-1
254,бонус,1
255,борец,-1
256,борзый,-1
257,босс,-1
258,боязнь,-1
259,бравада,-1
260,браконьер,-1
261,бранить,-1
262,брань,-1
263,бредовый,-1
264,брезгливость,-1
265,бремя,-1
266,брехать,-1
267,брехня,-1
268,брехун,-1
269,брешь,-1
270,бродяга,-1
271,бросать,-1
272,брыкаться,-1
273,брысь,-1
274,брюзжание,-1
275,брюзжать,-1
276,бугор,-1
277,бузить,-1
278,буйный,-1
279,букашка,-1
280,буксовать,-1
281,буржуй,-1
282,буржуйский,-1
283,бурьян,-1
284,бухать,-1
285,буянить,-1
286,быдло,-1
287,быстрорастущий,1
288,бюрократ,-1
289,бюрократический,-1
290,бюрократия,-1
291,бяка,-1
292,важный,1
293,вакханалия,-1
294,валить,-1
295,вампир,-1
296,вандал,-1
297,вандализм,-1
298,варварский,-1
299,ватник,-1
300,вдохновение,1
301,вдумчивый,1
302,ведьма,-1
303,вежливость,1
304,вежливый,1
305,везение,1
306,везунчик,1
307,везучий,1
308,великодержавный,1
309,великолепие,1
310,величественный,1
311,величие,1
312,верный,1
313,веровать,-1
314,вероотступник,-1
315,веселый,1
316,ветеран,1
317,вечный,1
318,вешать,-1
319,взаимность,1
320,взаимовыгодный,1
321,взаимопомощь,1
322,взбалмошный,-1
323,взбунтоваться,-1
324,взгрустнуть,-1
325,вздор,-1
326,вздорный,-1
327,взлом,-1
328,взрываться,-1
329,взъедаться,-1
330,взяткодатель,-1
331,взяточник,-1
332,взяточничество,-1
333,визжать,-1
334,виновник,-1
335,виновница,-1
336,виновность,-1
337,виновный,-1
338,виртуоз,1
339,вкалывать,-1
340,вкусный,1
341,вкуснятина,1
342,владыка,1
343,властолюбец,-1
344,властолюбивый,-1
345,влачить,-1
346,влезать,-1
347,влюбленность,1
348,внимательность,1
349,внимательный,1
350,внятный,1
351,возвышенность,1
352,возлюбить,1
353,возмутительный,-1
354,возмущать,-1
355,вознаграждение,1
356,возненавидеть,-1
357,возомнить,-1
358,возрадоваться,1
359,возрождаться,1
360,воин,1
361,война,-1
362,волевой,1
363,волокита,-1
364,волшебный,1
365,вольность,-1
366,вонь,-1
367,вонючий,-1
368,вонючка,-1
369,вонять,-1
370,вопить,-1
371,вор,-1
372,воришка,-1
373,вороватый,-1
374,воровать,-1
375,воровской,-1
376,воровство,-1
377,ворюга,-1
378,воспаление,-1
379,восставать,-1
380,восстание,-1
381,восторг,1
382,восторгаться,1
383,восхищать,1
384,восхищение,1
385,вошь,-1
386,впаривать,-1
387,впечатлять,1
388,впихивать,-1
389,впустую,-1
390,враг,-1
391,вражда,-1
392,враждебный,-1
393,вранье,-1
394,врать,-1
395,вред,-1
396,вредитель,-1
397,вредительство,-1
398,вредить,-1
399,вредность,-1
400,вредный,-1
401,вседозволенность,-1
402,всеобъемлющий,1
403,всепроникающий,-1
404,всесильный,1
405,вспыльчивый,-1
406,встревать,-1
407,вторгаться,-1
408,вторжение,-1
409,второсортный,-1
410,втридорога,-1
411,вульгарный,-1
412,вундеркинд,1
413,выбрасывать,-1
414,выговаривать,-1
415,выговор,-1
416,выебывать,-1
417,выживать,-1
418,выздоравливать,1
419,выздоровление,1
420,выкидывать,-1
421,выкидыш,-1
