,dependency,doc_id,lemmatized,parent_id,pol,sentence_id,tag,word,word_id
0,nsubj,0.0,национализация,19,0.0,0.0,NOUN,Национализация,1
1,amod,0.0,украинский,3,0.0,0.0,ADJ,украинских,2
2,nmod,0.0,предприятие,1,0.0,0.0,NOUN,предприятий,3
3,punct,0.0,",",3,0.0,0.0,PUNCT,",",4
4,dobj,0.0,который,6,0.0,0.0,ADJ,которую,5
5,acl:relcl,0.0,объявить,1,0.0,0.0,VERB,объявили,6
6,case,0.0,в,10,0.0,0.0,ADP,в,7
7,amod,0.0,донецкий,10,0.0,0.0,ADJ,Донецкой,8
8,amod,0.0,народный,10,0.0,0.0,ADJ,Народной,9
9,nmod,0.0,республика,6,0.0,0.0,NOUN,Республике,10
10,cc,0.0,и,10,0.0,0.0,CONJ,и,11
11,amod,0.0,луганский,14,0.0,0.0,ADJ,Луганской,12
12,amod,0.0,народный,14,0.0,0.0,ADJ,Народной,13
13,conj,0.0,республика,10,0.0,0.0,NOUN,Республике,14
14,advmod,0.0,сегодня,19,0.0,0.0,ADV,сегодня,15
15,punct,0.0,",",15,0.0,0.0,PUNCT,",",16
16,punct,0.0,—,15,0.0,0.0,PUNCT,—,17
17,nsubj,0.0,это,19,0.0,0.0,NOUN,это,18
18,ROOT,0.0,ответ,0,0.0,0.0,NOUN,ответ,19
19,case,0.0,на,21,0.0,0.0,ADP,на,20
20,dobj,0.0,действие,19,0.0,0.0,NOUN,действия,21
21,nmod,0.0,киев,21,0.0,0.0,NOUN,Киева,22
22,case,0.0,с,24,0.0,0.0,ADP,с,23
23,nmod,0.0,цель,19,0.0,0.0,NOUN,целью,24
24,dep,0.0,выжить,24,0.0,0.0,VERB,выжить,25
25,punct,0.0,.,19,0.0,0.0,PUNCT,.,26
26,case,0.0,о,2,0.0,1.0,ADP,Об,1
27,nmod,0.0,это,3,0.0,1.0,NOUN,этом,2
28,ROOT,0.0,заявить,0,0.0,1.0,VERB,заявил,3
29,nsubj,0.0,пресссекретарить,3,0.0,1.0,NOUN,пресссекретарь,4
30,nmod,0.0,президент,4,0.0,1.0,NOUN,президента,5
31,dobj,0.0,рф,5,0.0,1.0,NOUN,РФ,6
32,appos,0.0,дмитрий,4,0.0,1.0,NOUN,Дмитрий,7
33,name,0.0,песок,7,0.0,1.0,NOUN,Песков,8
34,punct,0.0,.,3,0.0,1.0,PUNCT,.,9
35,dobj,0.0,—,3,0.0,2.0,PUNCT,—,1
36,nsubj,0.0,мы,3,0.0,2.0,PRON,Мы,2
37,ROOT,0.0,являться,0,0.0,2.0,VERB,являемся,3
38,dobj,0.0,свидетель,3,0.0,2.0,NOUN,свидетелями,4
39,dobj,0.0,тот,4,0.0,2.0,NOUN,того,5
40,punct,0.0,",",5,0.0,2.0,PUNCT,",",6
41,mark,0.0,что,12,0.0,2.0,SCONJ,что,7
42,amod,0.0,отторгнуть,11,0.0,2.0,VERB,отторгнутые,8
43,det,0.0,свой,10,0.0,2.0,DET,своим,9
44,nmod:agent,0.0,государство,8,0.0,2.0,NOUN,государством,10
45,nsubj,0.0,область,12,0.0,2.0,NOUN,области,11
46,advcl,0.0,попадать,5,0.0,2.0,VERB,попадают,12
47,case,0.0,в,17,0.0,2.0,ADP,в,13
48,advmod,0.0,ещё,15,0.0,2.0,ADV,ещё,14
49,advmod,0.0,более,16,0.0,2.0,ADV,более,15
50,amod,0.0,тяжёлый,17,0.0,2.0,ADJ,тяжёлое,16
51,nmod,0.0,положение,12,0.0,2.0,NOUN,положение,17
52,punct,0.0,",",17,0.0,2.0,PUNCT,",",18
53,advcl,0.0,быть,12,0.0,2.0,AUX,будучи,19
54,case,0.0,в,21,0.0,2.0,ADP,в,20
55,nmod,0.0,условие,19,0.0,2.0,NOUN,условиях,21
56,amod,0.0,полный,23,0.0,2.0,ADJ,полной,22
57,dobj,0.0,блокада,21,0.0,2.0,NOUN,блокады,23
58,case,0.0,с,25,0.0,2.0,ADP,со,24
59,nmod,0.0,сторона,23,0.0,2.0,NOUN,стороны,25
60,amod,0.0,экстремистский,27,0.0,2.0,ADJ,экстремистских,26
61,nmod,0.0,элемент,25,0.0,2.0,NOUN,элементов,27
62,punct,0.0,.,3,0.0,2.0,PUNCT,.,28
63,advmod,0.0,поэтому,8,0.0,3.0,ADV,Поэтому,1
64,punct,0.0,",",1,0.0,3.0,PUNCT,",",2
65,parataxis,0.0,конечно,8,0.0,3.0,ADV,конечно,3
66,punct,0.0,",",3,0.0,3.0,PUNCT,",",4
67,case,0.0,в,7,0.0,3.0,ADP,в,5
68,det,0.0,какойтый,7,0.0,3.0,DET,какойто,6
69,nmod,0.0,степень,8,0.0,3.0,NOUN,степени,7
70,ROOT,0.0,можно,0,0.0,3.0,ADV,можно,8
71,nsubj,0.0,понять,8,0.0,3.0,VERB,понять,9
72,det,0.0,тот,11,0.0,3.0,DET,те,10
73,dobj,0.0,действие,9,0.0,3.0,NOUN,действия,11
74,nmod,0.0,руководство,11,0.0,3.0,NOUN,руководства,12
75,det,0.0,этот,14,0.0,3.0,DET,этих,13
76,dobj,0.0,регион,12,0.0,3.0,NOUN,регионов,14
77,punct,0.0,",",14,0.0,3.0,PUNCT,",",15
78,nsubjpass,0.0,который,17,0.0,3.0,ADJ,которые,16
79,acl:relcl,0.0,отторгнуть,11,0.0,3.0,VERB,отторгнуты,17
80,det,0.0,свой,19,0.0,3.0,DET,своим,18
81,nmod:agent,0.0,государство,17,0.0,3.0,NOUN,государством,19
82,punct,0.0,.,8,0.0,3.0,PUNCT,.,20
83,nsubj,0.0,речь,2,0.0,4.0,NOUN,Речь,1
84,ROOT,0.0,идти,0,0.0,4.0,VERB,идёт,2
85,case,0.0,о,4,0.0,4.0,ADP,о,3
86,nmod,0.0,жизнь,2,0.0,4.0,NOUN,жизни,4
87,compound,0.0,несколько,6,0.0,4.0,NUM,нескольких,5
88,nummod:gov,0.0,миллион,7,0.0,4.0,NOUN,миллионов,6
89,nmod,0.0,человек,4,0.0,4.0,NOUN,людей,7
90,punct,0.0,",",7,0.0,4.0,PUNCT,",",8
91,nmod,0.0,человек,10,0.0,4.0,NOUN,людям,9
